ID,Label,Code
538,EN_DistributionEntropy_raw_ks__005,"EN_DistributionEntropy(x,'ks',[],0.05)"
539,EN_DistributionEntropy_raw_ks__01,"EN_DistributionEntropy(x,'ks',[],0.1)"
540,EN_DistributionEntropy_raw_ks__02,"EN_DistributionEntropy(x,'ks',[],0.2)"
541,EN_DistributionEntropy_raw_ks__03,"EN_DistributionEntropy(x,'ks',[],0.3)"
542,EN_DistributionEntropy_hist_5_0,"EN_DistributionEntropy(x_z,'hist',5,0)"
543,EN_DistributionEntropy_hist_10_0,"EN_DistributionEntropy(x_z,'hist',10,0)"
544,EN_DistributionEntropy_hist_20_0,"EN_DistributionEntropy(x_z,'hist',20,0)"
545,EN_DistributionEntropy_hist_50_0,"EN_DistributionEntropy(x_z,'hist',50,0)"
546,EN_DistributionEntropy_hist_auto_0,"EN_DistributionEntropy(x_z,'hist','auto',0)"
547,EN_DistributionEntropy_hist_sqrt_0,"EN_DistributionEntropy(x_z,'hist','sqrt',0)"
548,EN_DistributionEntropy_hist_fd_0,"EN_DistributionEntropy(x_z,'hist','fd',0)"
549,EN_DistributionEntropy_hist_sturges_0,"EN_DistributionEntropy(x_z,'hist','sturges',0)"
550,EN_DistributionEntropy_hist_10_001,"EN_DistributionEntropy(x_z,'hist',10,0.01)"
551,EN_DistributionEntropy_hist_10_002,"EN_DistributionEntropy(x_z,'hist',10,0.02)"
552,EN_DistributionEntropy_hist_10_005,"EN_DistributionEntropy(x_z,'hist',10,0.05)"
553,EN_DistributionEntropy_hist_10_01,"EN_DistributionEntropy(x_z,'hist',10,0.1)"
554,EN_DistributionEntropy_hist_10_02,"EN_DistributionEntropy(x_z,'hist',10,0.2)"
555,EN_DistributionEntropy_hist_10_03,"EN_DistributionEntropy(x_z,'hist',10,0.3)"
556,EN_DistributionEntropy_hist_auto_001,"EN_DistributionEntropy(x_z,'hist','auto',0.01)"
557,EN_DistributionEntropy_hist_auto_002,"EN_DistributionEntropy(x_z,'hist','auto',0.02)"
558,EN_DistributionEntropy_hist_auto_005,"EN_DistributionEntropy(x_z,'hist','auto',0.05)"
